#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Streptococcus sp. CCUG 49591","Bacteria;Terrabacteria group;Firmicutes","CCUG 49591","SAMN04575401","PRJNA302716","GCA_001650315.1","Scaffold",1.92866,40.1,,"LVJM01",49,1786,"2016-05-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/650/315/GCA_001650315.1_ASM165031v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/650/315/GCF_001650315.1_ASM165031v1"
"Streptococcus sp. HMSC067A03","Bacteria;Terrabacteria group;Firmicutes","HMSC067A03","SAMN04480386","PRJNA300117","GCA_001814295.1","Scaffold",1.80495,37.8,,"LTVC01",45,1682,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/814/295/GCA_001814295.1_ASM181429v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/814/295/GCF_001814295.1_ASM181429v1"
"Streptococcus sp. 9.1","Bacteria;Terrabacteria group;Firmicutes","9.1","SAMN15793726","PRJNA656387","GCA_016648815.1","Scaffold",2.12727,40,,"JACLQS01",35,1853,"2021-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/648/815/GCA_016648815.1_ASM1664881v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/648/815/GCF_016648815.1_ASM1664881v1"
"Streptococcus sp. 68","Bacteria;Terrabacteria group;Firmicutes","68","SAMN11665865","PRJNA556140","GCA_013277415.1","Scaffold",2.0979,40.1,,"VMMX01",25,1892,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/277/415/GCA_013277415.1_ASM1327741v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/277/415/GCF_013277415.1_ASM1327741v1"
"Streptococcus sp. CECT 9732","Bacteria;Terrabacteria group;Firmicutes","CECT 9732","SAMN06579452","PRJNA378964","GCA_004353325.1","Scaffold",1.92275,41.1,,"MZNX01",10,1814,"2019-03-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/353/325/GCA_004353325.1_ASM435332v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/353/325/GCF_004353325.1_ASM435332v1"
"Streptococcus sp. HMSC34B10","Bacteria;Terrabacteria group;Firmicutes","HMSC34B10","SAMN04498864","PRJNA274508","GCA_001839505.1","Scaffold",1.72048,38.9,,"LTLL01",18,1679,"2016-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/505/GCA_001839505.1_ASM183950v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/505/GCF_001839505.1_ASM183950v1"
"Streptococcus sp. 21.1","Bacteria;Terrabacteria group;Firmicutes","21.1","SAMN15793733","PRJNA656387","GCA_016648635.1","Scaffold",2.11467,40,,"JACLQL01",30,1865,"2021-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/648/635/GCA_016648635.1_ASM1664863v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/648/635/GCF_016648635.1_ASM1664863v1"
"Streptococcus sp. HMSC056D01","Bacteria;Terrabacteria group;Firmicutes","HMSC056D01","SAMN04498586","PRJNA296186","GCA_001836345.1","Scaffold",2.061,35.1,,"LTRC01",27,1963,"2016-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/836/345/GCA_001836345.1_ASM183634v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/836/345/GCF_001836345.1_ASM183634v1"
"Streptococcus sp. D2","Bacteria;Terrabacteria group;Firmicutes","D2","SAMN12045516","PRJNA548652","GCA_006385825.1","Scaffold",2.02136,39.9,,"VFSI01",26,1798,"2019-06-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/385/825/GCA_006385825.1_ASM638582v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/385/825/GCF_006385825.1_ASM638582v1"
"Streptococcus sp. HMSC062D07","Bacteria;Terrabacteria group;Firmicutes","HMSC062D07","SAMN04480380","PRJNA300111","GCA_001814215.1","Scaffold",1.75337,39.2,,"LTVH01",18,1701,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/814/215/GCA_001814215.1_ASM181421v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/814/215/GCF_001814215.1_ASM181421v1"
"Streptococcus sp. HMSC063D10","Bacteria;Terrabacteria group;Firmicutes","HMSC063D10","SAMN04477502","PRJNA296209","GCA_001808635.1","Scaffold",2.09223,35.4,,"LTLG01",25,1983,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/808/635/GCA_001808635.1_ASM180863v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/808/635/GCF_001808635.1_ASM180863v1"
"Streptococcus sp. 17.1","Bacteria;Terrabacteria group;Firmicutes","17.1","SAMN15793732","PRJNA656387","GCA_016648655.1","Scaffold",2.22222,39.9,,"JACLQM01",51,1965,"2021-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/648/655/GCA_016648655.1_ASM1664865v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/648/655/GCF_016648655.1_ASM1664865v1"
"Streptococcus sp. C150","Bacteria;Terrabacteria group;Firmicutes","C150","SAMN02463753","PRJNA38751","GCA_000187445.1","Scaffold",2.14248,39.9,,"ACRI01",21,1906,"2011-01-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/187/445/GCA_000187445.1_ASM18744v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/445/GCF_000187445.1_ASM18744v1"
"Streptococcus sp. HMSC061D01","Bacteria;Terrabacteria group;Firmicutes","HMSC061D01","SAMN04477598","PRJNA299913","GCA_001810705.1","Scaffold",2.01848,38.8,,"LTHK01",57,1888,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/810/705/GCA_001810705.1_ASM181070v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/810/705/GCF_001810705.1_ASM181070v1"
"Streptococcus sp. HMSC077F03","Bacteria;Terrabacteria group;Firmicutes","HMSC077F03","SAMN04477662","PRJNA300007","GCA_001812375.1","Scaffold",1.92667,41.2,,"LTEI01",66,1804,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/812/375/GCA_001812375.1_ASM181237v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/812/375/GCF_001812375.1_ASM181237v1"
"Streptococcus sp. HMSC072D07","Bacteria;Terrabacteria group;Firmicutes","HMSC072D07","SAMN04480412","PRJNA300145","GCA_001814835.1","Scaffold",2.13064,40.9,,"LTUB01",59,1977,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/814/835/GCA_001814835.1_ASM181483v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/814/835/GCF_001814835.1_ASM181483v1"
"Streptococcus sp. 3473","Bacteria;Terrabacteria group;Firmicutes","3473","SAMN11665887","PRJNA556140","GCA_013276995.1","Scaffold",1.98915,40.1,,"VMMB01",36,1757,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/276/995/GCA_013276995.1_ASM1327699v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/276/995/GCF_013276995.1_ASM1327699v1"
"Streptococcus sp. HMSC062B01","Bacteria;Terrabacteria group;Firmicutes","HMSC062B01","SAMN04477596","PRJNA299934","GCA_001811085.1","Scaffold",2.29018,40.3,,"LTGS01",45,2161,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/811/085/GCA_001811085.1_ASM181108v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/811/085/GCF_001811085.1_ASM181108v1"
"Streptococcus sp. IMAU 99161","Bacteria;Terrabacteria group;Firmicutes","IMAU 99161","SAMN14379676","PRJNA612641","GCA_014435245.1","Scaffold",2.06248,41.6,,"JAAPAW01",38,1852,"2020-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/435/245/GCA_014435245.1_ASM1443524v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/435/245/GCF_014435245.1_ASM1443524v1"
"Streptococcus sp. 2.1","Bacteria;Terrabacteria group;Firmicutes","2.1","SAMN15793722","PRJNA656387","GCA_016648865.1","Scaffold",2.39391,39.5,,"JACLQW01",58,2150,"2021-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/648/865/GCA_016648865.1_ASM1664886v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/648/865/GCF_016648865.1_ASM1664886v1"
"Streptococcus sp. 3.1","Bacteria;Terrabacteria group;Firmicutes","3.1","SAMN15793723","PRJNA656387","GCA_016648915.1","Scaffold",2.3951,39.5,,"JACLQV01",49,2143,"2021-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/648/915/GCA_016648915.1_ASM1664891v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/648/915/GCF_016648915.1_ASM1664891v1"
"Streptococcus sp. HMSC073A12","Bacteria;Terrabacteria group;Firmicutes","HMSC073A12","SAMN04480044","PRJNA300030","GCA_001812815.1","Scaffold",1.96733,38.5,,"LTXT01",51,1820,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/812/815/GCA_001812815.1_ASM181281v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/812/815/GCF_001812815.1_ASM181281v1"
"Streptococcus sp. 2018110","Bacteria;Terrabacteria group;Firmicutes","2018110","SAMN20800773","PRJNA754713","GCA_019754115.1","Scaffold",2.38073,41.1,,"JAIJZO01",47,2208,"2021-08-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/754/115/GCA_019754115.1_ASM1975411v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/754/115/GCF_019754115.1_ASM1975411v1"
"Streptococcus sp. HMSC078E03","Bacteria;Terrabacteria group;Firmicutes","HMSC078E03","SAMN04498653","PRJNA296314","GCA_001838105.1","Scaffold",2.14012,35.1,,"LTOA01",44,2072,"2016-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/838/105/GCA_001838105.1_ASM183810v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/838/105/GCF_001838105.1_ASM183810v1"
"Streptococcus sp. HMSC076H09","Bacteria;Terrabacteria group;Firmicutes","HMSC076H09","SAMN04477632","PRJNA299972","GCA_001811765.1","Scaffold",1.95424,35.2,,"LTFL01",29,1835,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/811/765/GCA_001811765.1_ASM181176v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/811/765/GCF_001811765.1_ASM181176v1"
"Streptococcus sp. HMSC076H10","Bacteria;Terrabacteria group;Firmicutes","HMSC076H10","SAMN04480434","PRJNA300170","GCA_001815305.1","Scaffold",1.95284,35.2,,"LTTF01",36,1838,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/815/305/GCA_001815305.1_ASM181530v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/815/305/GCF_001815305.1_ASM181530v1"
"Streptococcus sp. HMSC034F03","Bacteria;Terrabacteria group;Firmicutes","HMSC034F03","SAMN04498675","PRJNA299937","GCA_001838535.1","Scaffold",2.08588,38.7,,"LTYL01",86,1915,"2016-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/838/535/GCA_001838535.1_ASM183853v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/838/535/GCF_001838535.1_ASM183853v1"
"Streptococcus sp. k-432","Bacteria;Terrabacteria group;Firmicutes","k-432","SAMN11665862","PRJNA556140","GCA_013277495.1","Scaffold",2.10258,39.9,,"VMNA01",45,1881,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/277/495/GCA_013277495.1_ASM1327749v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/277/495/GCF_013277495.1_ASM1327749v1"
"Streptococcus sp. k-402","Bacteria;Terrabacteria group;Firmicutes","k-402","SAMN11665861","PRJNA556140","GCA_013277515.1","Scaffold",2.08086,39.9,,"VMNB01",30,1850,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/277/515/GCA_013277515.1_ASM1327751v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/277/515/GCF_013277515.1_ASM1327751v1"
"Streptococcus sp. 10.1","Bacteria;Terrabacteria group;Firmicutes","10.1","SAMN15793727","PRJNA656387","GCA_016648765.1","Scaffold",2.12855,40,,"JACLQR01",38,1853,"2021-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/648/765/GCA_016648765.1_ASM1664876v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/648/765/GCF_016648765.1_ASM1664876v1"
"Streptococcus sp. HMSC069D09","Bacteria;Terrabacteria group;Firmicutes","HMSC069D09","SAMN04495794","PRJNA296177","GCA_001808575.1","Scaffold",2.09173,35.3,,"LTLJ01",58,2047,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/808/575/GCA_001808575.1_ASM180857v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/808/575/GCF_001808575.1_ASM180857v1"
"Streptococcus sp. HMSC064H02","Bacteria;Terrabacteria group;Firmicutes","HMSC064H02","SAMN04498617","PRJNA296243","GCA_001837275.1","Scaffold",2.12712,35.3,,"LTPM01",39,2042,"2016-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/837/275/GCA_001837275.1_ASM183727v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/837/275/GCF_001837275.1_ASM183727v1"
"Streptococcus sp. HMSC034B03","Bacteria;Terrabacteria group;Firmicutes","HMSC034B03","SAMN04498855","PRJNA296241","GCA_001838575.1","Scaffold",1.917,38.9,,"LTNG01",23,1816,"2016-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/838/575/GCA_001838575.1_ASM183857v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/838/575/GCF_001838575.1_ASM183857v1"
"Streptococcus sp. HMSC078E08","Bacteria;Terrabacteria group;Firmicutes","HMSC078E08","SAMN04498610","PRJNA296230","GCA_001838125.1","Scaffold",2.0954,35.4,,"LTNZ01",35,2012,"2016-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/838/125/GCA_001838125.1_ASM183812v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/838/125/GCF_001838125.1_ASM183812v1"
"Streptococcus sp. HMSC034B05","Bacteria;Terrabacteria group;Firmicutes","HMSC034B05","SAMN04495797","PRJNA296149","GCA_001809055.1","Scaffold",1.90183,37.8,,"LTKL01",50,1777,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/809/055/GCA_001809055.1_ASM180905v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/809/055/GCF_001809055.1_ASM180905v1"
"Streptococcus sp. k-163","Bacteria;Terrabacteria group;Firmicutes","k-163","SAMN11665859","PRJNA556140","GCA_013277555.1","Scaffold",1.93664,40.1,,"VMND01",34,1740,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/277/555/GCA_013277555.1_ASM1327755v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/277/555/GCF_013277555.1_ASM1327755v1"
"Streptococcus sp. 23.2","Bacteria;Terrabacteria group;Firmicutes","23.2","SAMN15793735","PRJNA656387","GCA_016648665.1","Scaffold",2.16024,39.8,,"JACLQJ01",36,1893,"2021-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/648/665/GCA_016648665.1_ASM1664866v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/648/665/GCF_016648665.1_ASM1664866v1"
"Streptococcus sp. 1032","Bacteria;Terrabacteria group;Firmicutes","1032","SAMN11665885","PRJNA556140","GCA_013277015.1","Scaffold",2.21398,39.8,,"VMMD01",45,2033,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/277/015/GCA_013277015.1_ASM1327701v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/277/015/GCF_013277015.1_ASM1327701v1"
"Streptococcus sp. HMSC034E12","Bacteria;Terrabacteria group;Firmicutes","HMSC034E12","SAMN04498581","PRJNA296181","GCA_001835915.1","Scaffold",1.9783,38.6,,"LTRX01",65,1822,"2016-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/835/915/GCA_001835915.1_ASM183591v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/835/915/GCF_001835915.1_ASM183591v1"
"Streptococcus sp. oral taxon 058 str. F0407","Bacteria;Terrabacteria group;Firmicutes","F0407","SAMN02299440","PRJNA50403","GCA_000235485.1","Scaffold",1.8489,41.2,,"AGAE01",22,1737,"2011-11-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/485/GCA_000235485.1_ASM23548v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/485/GCF_000235485.1_ASM23548v1"
"Streptococcus sp. HMSC11C05","Bacteria;Terrabacteria group;Firmicutes","HMSC11C05","SAMN03287010","PRJNA269855","GCA_001807935.1","Scaffold",2.05785,35.3,,"LUAC01",28,1954,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/807/935/GCA_001807935.1_ASM180793v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/807/935/GCF_001807935.1_ASM180793v1"
"Streptococcus sp. HMSC070A10","Bacteria;Terrabacteria group;Firmicutes","HMSC070A10","SAMN04477631","PRJNA299971","GCA_001811745.1","Scaffold",2.02942,35.2,,"LTFM01",30,1930,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/811/745/GCA_001811745.1_ASM181174v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/811/745/GCF_001811745.1_ASM181174v1"
"Streptococcus sp. k-90","Bacteria;Terrabacteria group;Firmicutes","k-90","SAMN11665858","PRJNA556140","GCA_013277565.1","Scaffold",1.94304,40.1,,"VMNE01",57,1744,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/277/565/GCA_013277565.1_ASM1327756v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/277/565/GCF_013277565.1_ASM1327756v1"
"Streptococcus sp. HMSC062H02","Bacteria;Terrabacteria group;Firmicutes","HMSC062H02","SAMN04480052","PRJNA300039","GCA_001813005.1","Scaffold",1.95394,41.1,,"LTXM01",51,1852,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/813/005/GCA_001813005.1_ASM181300v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/813/005/GCF_001813005.1_ASM181300v1"
"Streptococcus sp. 959","Bacteria;Terrabacteria group;Firmicutes","959","SAMN11665883","PRJNA556140","GCA_013277075.1","Scaffold",2.0396,39.8,,"VMMF01",47,1815,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/277/075/GCA_013277075.1_ASM1327707v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/277/075/GCF_013277075.1_ASM1327707v1"
"Streptococcus sp. 3109","Bacteria;Terrabacteria group;Firmicutes","3109","SAMN11665890","PRJNA556140","GCA_013276905.1","Scaffold",2.1096,40,,"VMLY01",37,1883,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/276/905/GCA_013276905.1_ASM1327690v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/276/905/GCF_013276905.1_ASM1327690v1"
"Streptococcus sp. HMSC075A03","Bacteria;Terrabacteria group;Firmicutes","HMSC075A03","SAMN04477580","PRJNA299916","GCA_001810765.1","Scaffold",2.05233,35.3,,"LTHH01",35,1957,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/810/765/GCA_001810765.1_ASM181076v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/810/765/GCF_001810765.1_ASM181076v1"
"Streptococcus sp. HMSC076H07","Bacteria;Terrabacteria group;Firmicutes","HMSC076H07","SAMN04480376","PRJNA300104","GCA_001814065.1","Scaffold",1.95543,35.2,,"LTVL01",32,1838,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/814/065/GCA_001814065.1_ASM181406v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/814/065/GCF_001814065.1_ASM181406v1"
"Streptococcus sp. 3894","Bacteria;Terrabacteria group;Firmicutes","3894","SAMN11665892","PRJNA556140","GCA_013276885.1","Scaffold",2.10753,40,,"VMLW01",47,1879,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/276/885/GCA_013276885.1_ASM1327688v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/276/885/GCF_013276885.1_ASM1327688v1"
"Streptococcus sp. 2579","Bacteria;Terrabacteria group;Firmicutes","2579","SAMN11665876","PRJNA556140","GCA_013277195.1","Scaffold",2.09351,40,,"VMMM01",31,1872,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/277/195/GCA_013277195.1_ASM1327719v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/277/195/GCF_013277195.1_ASM1327719v1"
"Streptococcus sp. 22.1","Bacteria;Terrabacteria group;Firmicutes","22.1","SAMN15793734","PRJNA656387","GCA_016648645.1","Scaffold",2.39385,39.4,,"JACLQK01",55,2127,"2021-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/648/645/GCA_016648645.1_ASM1664864v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/648/645/GCF_016648645.1_ASM1664864v1"
"Streptococcus sp. HMSC078H03","Bacteria;Terrabacteria group;Firmicutes","HMSC078H03","SAMN04477505","PRJNA296214","GCA_001808655.1","Scaffold",2.13426,40,,"LTLF01",55,1912,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/808/655/GCA_001808655.1_ASM180865v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/808/655/GCF_001808655.1_ASM180865v1"
"Streptococcus sp. HMSC074F09","Bacteria;Terrabacteria group;Firmicutes","HMSC074F09","SAMN04498623","PRJNA296252","GCA_001837855.1","Scaffold",1.99109,35.1,,"LTOK01",34,1876,"2016-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/837/855/GCA_001837855.1_ASM183785v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/837/855/GCF_001837855.1_ASM183785v1"
"Streptococcus sp. HMSC070B09","Bacteria;Terrabacteria group;Firmicutes","HMSC070B09","SAMN04480038","PRJNA300024","GCA_001812695.1","Scaffold",1.967,35.2,,"LTXY01",30,1854,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/812/695/GCA_001812695.1_ASM181269v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/812/695/GCF_001812695.1_ASM181269v1"
"Streptococcus sp. HMSC076H08","Bacteria;Terrabacteria group;Firmicutes","HMSC076H08","SAMN04477594","PRJNA299931","GCA_001811035.1","Scaffold",1.95442,35.2,,"LTGV01",30,1839,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/811/035/GCA_001811035.1_ASM181103v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/811/035/GCF_001811035.1_ASM181103v1"
"Streptococcus sp. 263_SSPC","Bacteria;Terrabacteria group;Firmicutes","263_SSPC","SAMN03197456","PRJNA267549","GCA_001071995.1","Scaffold",1.80435,39.2,,"JVNU01",60,1757,"2015-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/071/995/GCA_001071995.1_ASM107199v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/071/995/GCF_001071995.1_ASM107199v1"
"Streptococcus sp. HMSC036H09","Bacteria;Terrabacteria group;Firmicutes","HMSC036H09","SAMN04498615","PRJNA296238","GCA_001836275.1","Scaffold",2.05423,35.3,,"LTRG01",40,1956,"2016-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/836/275/GCA_001836275.1_ASM183627v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/836/275/GCF_001836275.1_ASM183627v1"
"Streptococcus sp. M334","Bacteria;Terrabacteria group;Firmicutes","M334","SAMN02463756","PRJNA38757","GCA_000187745.1","Scaffold",2.20701,39.2,,"ACRL01",32,1976,"2011-01-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/187/745/GCA_000187745.1_ASM18774v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/745/GCF_000187745.1_ASM18774v1"
"Streptococcus sp. HMSC078H12","Bacteria;Terrabacteria group;Firmicutes","HMSC078H12","SAMN04480405","PRJNA300133","GCA_001814615.1","Scaffold",2.12498,40,,"LTUM01",46,1909,"2016-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/814/615/GCA_001814615.1_ASM181461v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/814/615/GCF_001814615.1_ASM181461v1"
"Streptococcus sp. 3851","Bacteria;Terrabacteria group;Firmicutes","3851","SAMN11665891","PRJNA556140","GCA_013276925.1","Scaffold",2.11608,40,,"VMLX01",39,1895,"2020-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/276/925/GCA_013276925.1_ASM1327692v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/276/925/GCF_013276925.1_ASM1327692v1"
