#Datasets	ELR003.A0101.unmapped	ELR004.A0101.unmapped	ELR006.A0101.unmapped	ELR008.A0101.unmapped	ELR010.A0101.unmapped	IVE002.B0101.unmapped	IVE003.A0101.unmapped	IVE005.A0101.unmapped	IVE005.B0101.unmapped	IVE007.B0101.unmapped	LIB007.A0125.unmapped	LIB007.A0130.unmapped	LIB007.A0131.unmapped	EXB015.A3001.unmapped	EXB015.A3301.unmapped	EXB015.A3401.unmapped
Hephaestia caeni	0	0	0	0	0	0	0	0	0	0	0	0	0	49	36	2
Novosphingobium acidiphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium aromaticivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium barchaimii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium fuchskuhlense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium mathurense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium nitrogenifigens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium panipatense	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0
Novosphingobium pentaromativorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium resinovorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium sp. B 225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium sp. B-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Novosphingobium sp. B3058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium sp. FSW06-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium sp. Fuku2-ISO-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium sp. MBES04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium sp. P6W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Novosphingobium sp. PP1Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium sp. THN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Pacificimonas flava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizorhabdus dicambivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sphingobium baderi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	4
Sphingobium czechense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sphingobium faniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium hydrophobicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium japonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sphingobium yanoikuyae	0	0	0	0	0	0	0	0	0	0	0	0	47	97	37	5
Sphingobium sp. AP50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium sp. SCG-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Sphingobium sp. SYK-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium sp. TCM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sphingobium sp. YG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium sp. Z007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Sphingomonas aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sphingomonas echinoides	0	0	0	0	0	0	0	0	0	0	59	45	97	249	217	31
Sphingomonas faeni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas haloaromaticamans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Sphingomonas hengshuiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas indica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas jaspsi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	907	58	2
Sphingomonas melonis	0	0	0	0	0	0	0	0	0	0	0	0	0	2944	1389	173
Sphingomonas panacis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Sphingomonas phyllosphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	81	47	4
Sphingomonas sanxanigenens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	6
Sphingomonas taxi	0	0	0	0	0	0	0	0	0	0	0	0	0	200	166	11
Sphingomonas wittichii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. Ant20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. Cra20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Sphingomonas sp. IBVSS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. IBVSS2	0	0	0	0	0	0	0	0	0	0	209	63	63	356	199	18
Sphingomonas sp. JJ-A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Sphingomonas sp. JS21-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	5
Sphingomonas sp. KC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. Leaf10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. Leaf208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sphingomonas sp. Leaf22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sphingomonas sp. Leaf230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. Leaf25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Sphingomonas sp. Leaf28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sphingomonas sp. Leaf29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Sphingomonas sp. Leaf33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0
Sphingomonas sp. Leaf38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. Leaf412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	4
Sphingomonas sp. Leaf62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. LK11	0	0	0	0	0	0	0	0	0	0	0	0	0	172	63	6
Sphingomonas sp. LM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Sphingomonas sp. MM-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. NFR15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sphingomonas sp. NIC1	0	0	0	0	0	0	0	0	0	0	0	0	0	152	140	9
Sphingomonas sp. OV641	0	0	0	0	0	0	0	0	0	0	0	0	0	156	75	5
Sphingomonas sp. PAMC 26605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	3
Sphingomonas sp. PAMC 26617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	5
Sphingomonas sp. Root241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Sphingomonas sp. Root710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. TDK1	0	0	0	0	0	0	0	0	0	0	0	0	0	379	161	16
Sphingomonas sp. TZW2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	7
Sphingomonas sp. URHD0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. Y57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis alaskensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Sphingopyxis bauzanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis fribergensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis granuli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis lindanitolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis macrogoltabida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Sphingopyxis terrae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis witflariensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis sp. 113P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis sp. QXT-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis sp. Root1497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis sp. Root154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis sp. Root214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingosinicella microcystinivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phreatobacter cathodiphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	25
Polymorphum gilvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermopetrobacter sp. TC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter insolitus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter insuavis	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0
Achromobacter marplatensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter spanius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter xylosoxidans	0	0	0	0	0	0	0	0	1044	0	0	0	0	54	0	0
Achromobacter sp. 2789STDY5608615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Achromobacter sp. 2789STDY5608621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Achromobacter sp. 2789STDY5608633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Achromobacter sp. AONIH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter sp. DMS1	0	673	0	0	0	4660	0	0	0	0	0	0	0	0	0	0
Achromobacter sp. MYb9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter sp. Root565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter sp. RTa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advenella kashmirensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advenella sp. S44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes aquatilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	0
Azohydromonas australica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella ansorpii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella bronchialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella bronchiseptica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella flabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella genomosp. 13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella genomosp. 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella genomosp. 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella genomosp. 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella hinzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella parapertussis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella petrii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella trematum	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
Bordetella sp. FB-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella sp. H567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella sp. N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidimonas bauzanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Castellaniella defragrans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Derxia gummosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eoetvoesia caeni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orrella dioscoreae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pusillimonas noertemannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pusillimonas sp. T7-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Pseudomonas] mesoacidophila	0	0	0	0	0	0	0	0	0	0	78	139	265	0	119	10
Burkholderia ambifaria	0	0	0	0	0	0	0	0	0	0	0	80	176	0	68	0
Burkholderia anthina	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	10
Burkholderia cenocepacia	0	0	0	0	0	0	0	0	0	0	0	40	136	0	83	11
Burkholderia cepacia	0	0	0	0	0	0	0	0	0	0	81	123	376	57	174	10
Burkholderia contaminans	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
Burkholderia diffusa	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	4
Burkholderia dolosa	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
Burkholderia lata	0	0	0	0	0	0	0	0	0	0	0	51	102	0	57	6
Burkholderia latens	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	4
Burkholderia metallica	0	0	0	0	0	0	0	0	0	0	0	47	94	0	0	8
Burkholderia multivorans	0	0	0	0	0	0	0	0	0	0	91	176	469	135	199	41
Burkholderia pseudomultivorans	0	0	0	0	0	0	0	0	0	0	49	88	170	0	94	8
Burkholderia pyrrocinia	0	0	0	0	0	0	0	0	0	0	0	46	88	0	43	2
Burkholderia seminalis	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0
Burkholderia sp. LA-2-3-30-S1-D2	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	2
Burkholderia sp. MSMB0856	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	3
Burkholderia sp. NRF60-BP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia stabilis	0	0	0	0	0	0	0	0	0	0	0	64	144	0	73	3
Burkholderia stagnalis	0	0	0	0	0	0	0	0	0	0	153	204	621	60	224	18
Burkholderia territorii	0	0	0	0	0	0	0	0	0	0	0	44	112	0	48	6
Burkholderia ubonensis	0	0	0	0	0	0	0	0	0	0	276	632	1652	242	638	62
Burkholderia vietnamiensis	0	0	0	0	0	0	0	0	0	0	0	34	124	0	0	0
Burkholderia gladioli	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	6
Burkholderia glumae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia insecticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Burkholderia plantarii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia mallei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Burkholderia oklahomensis	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	2
Burkholderia pseudomallei	0	0	0	0	0	0	0	0	0	0	48	90	317	51	72	8
Burkholderia sp. BDU6	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	3
Burkholderia sp. BDU8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. MSMB0852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia thailandensis	0	0	0	0	0	0	0	0	0	0	0	63	223	0	58	7
Burkholderia sp. A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. Bp7605	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	5
Burkholderia sp. Ch1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. CQ001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. HMSC10F09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. IDO3	0	0	0	0	0	0	0	0	0	0	41	78	243	0	81	7
Burkholderia sp. JS23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. K24	0	0	0	0	0	0	0	0	0	0	0	0	0	499	0	4
Burkholderia sp. KK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. NFACC38-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. OLGA172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. UYPR1.413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. yr281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. yr520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Chitinimonas koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus alkaliphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus basilensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus gilardii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus metallidurans	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	21
Cupriavidus nantongensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus necator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus oxalaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus pauculus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus pinatubonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus plantarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Cupriavidus taiwanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus sp. amp6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus sp. GA3-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus sp. SK-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus sp. SK-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus sp. UYPR2.512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus sp. YR651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lautropia mirabilis	12273	83069	13749	42639	0	185203	123874	58232	223296	42550	0	0	0	0	0	90
Pandoraea apista	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0
Pandoraea faecigallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoraea norimbergensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	6
Pandoraea pnomenusa	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0
Pandoraea pulmonicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoraea sputorum	0	0	0	0	0	0	0	0	0	0	109	0	0	81	0	0
Pandoraea thiooxydans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoraea sp. B-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia aromaticivorans	0	0	0	0	0	0	0	0	0	0	108	188	395	71	194	19
Paraburkholderia aspalathi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia bryophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia caballeronis	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	2
Paraburkholderia caffeinilytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia caribensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Paraburkholderia diazotrophica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Paraburkholderia eburnea	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	4
Paraburkholderia fungorum	0	0	0	0	0	0	0	0	0	0	0	0	0	743	0	10
Paraburkholderia hospita	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	3
Paraburkholderia kururiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	2
Paraburkholderia mimosarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Paraburkholderia nodosa	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	3
Paraburkholderia phenazinium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia phymatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Paraburkholderia phytofirmans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia piptadeniae	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0
Paraburkholderia ribeironis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Paraburkholderia sartisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia silvatlantica	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	4
Paraburkholderia sprentiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia susongensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia terrae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia tropica	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	4
Paraburkholderia tuberum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Paraburkholderia unamae	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	5
Paraburkholderia xenovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia sp. BL18I3N2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia sp. CCGE1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Paraburkholderia sp. JPY251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia sp. SOS3	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0
Paucimonas lemoignei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter asymbioticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter difficilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter duraquae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter necessarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter sinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter wuianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter yangtzensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia insidiosa	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
Ralstonia mannitolilytica	0	277	0	0	0	1803	0	0	0	0	0	0	0	58	0	5
Ralstonia pickettii	0	0	0	0	0	0	0	0	0	0	71	0	40	2104	107	11
Ralstonia solanacearum	0	0	0	0	0	0	0	0	0	0	0	0	44	65	0	3
blood disease bacterium A2-HR MARDI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia sp. 25mfcol4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia sp. MD27	0	0	0	0	0	0	0	0	0	0	197	108	129	1522	123	11
Ralstonia sp. NFACC01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia sp. UNC404CL21Col	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
Paraburkholderia symbiotica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trinickia caryophylli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Burkholderiaceae bacterium 16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderiaceae bacterium 26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax anthurii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax avenae	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0
Acidovorax carolinensis	0	0	0	0	0	846	0	461	0	0	0	0	0	0	0	3
Acidovorax cattleyae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax citrulli	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0
Acidovorax defluvii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax ebreus	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	0
Acidovorax konjaci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax oryzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. GW101-3H11	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	2
Acidovorax sp. JHL-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. JS42	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
Acidovorax sp. KKS102	0	0	0	0	0	0	0	0	0	0	0	0	0	295	46	0
Acidovorax sp. Leaf191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. Leaf78	0	0	0	0	0	793	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. MR-S7	0	0	0	0	0	1839	0	776	0	0	0	0	0	0	0	3
Acidovorax sp. RAC01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. Root217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. Root219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. Root267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. Root275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. Root402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. Root568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax valerianellae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax wautersii	0	0	0	0	0	0	0	0	0	0	0	0	0	79	57	0
Alicycliphilus denitrificans	0	0	0	0	0	0	0	1165	910	0	0	0	0	0	0	2
Brachymonas chironomi	0	0	0	0	0	0	0	472	0	0	0	0	0	0	0	4
Brachymonas denitrificans	0	0	0	0	0	958	0	830	892	0	0	0	0	0	0	4
Caenimonas sp. SL110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldimonas manganoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas aquatica	0	0	0	0	0	0	0	0	0	0	0	42	0	88	47	4
Comamonas composti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas serinivorans	0	0	0	0	0	891	0	664	865	0	0	0	0	0	0	0
Comamonas testosteroni	0	0	0	0	0	0	0	465	0	0	0	0	0	1066	62	2
Comamonas thiooxydans	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
Comamonas sp. B-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
