# Pathway	CMB001.A0101.unmapped_Abundance	CMB002.A0101.unmapped_Abundance	CMB003.A0101.unmapped_Abundance	CMB004.A0101.unmapped_Abundance	CMB005.A0101.unmapped_Abundance	CMB006.A0101.unmapped_Abundance	CMB007.A0101.unmapped_Abundance	CMB008.A0101.unmapped_Abundance	EXB034.A2701.unmapped_Abundance	EXB059.A2101.unmapped_Abundance	EXB059.A2201.unmapped_Abundance	EXB059.A2301.unmapped_Abundance	EXB059.A2401.unmapped_Abundance	EXB059.A2501.unmapped_Abundance	LIB058.A0102.unmapped_Abundance	LIB058.A0103.unmapped_Abundance	LIB058.A0104.unmapped_Abundance	LIB058.A0105.unmapped_Abundance	LIB058.A0106.unmapped_Abundance	LIB058.A0107.unmapped_Abundance	MID022.A0101.unmapped_Abundance	MID023.A0101.unmapped_Abundance	MID024.A0101.unmapped_Abundance	MID025.A0101.unmapped_Abundance	MID026.A0101.unmapped_Abundance	MID027.A0101.unmapped_Abundance	MID028.A0101.unmapped_Abundance	MID029.A0101.unmapped_Abundance	MID030.A0101.unmapped_Abundance	MID031.A0101.unmapped_Abundance	MID032.A0101.unmapped_Abundance	MID033.A0101.unmapped_Abundance	MID034.A0101.unmapped_Abundance	MID035.A0101.unmapped_Abundance	MID036.A0101.unmapped_Abundance	MID037.A0101.unmapped_Abundance	MID038.A0101.unmapped_Abundance	MID039.A0101.unmapped_Abundance	MID040.A0101.unmapped_Abundance	MID041.A0101.unmapped_Abundance	MID042.A0101.unmapped_Abundance	MID043.A0101.unmapped_Abundance	MID044.A0101.unmapped_Abundance	MID045.A0101.unmapped_Abundance	MID046.A0101.unmapped_Abundance	MID047.A0101.unmapped_Abundance	MID048.A0101.unmapped_Abundance	MID049.A0101.unmapped_Abundance	MID050.A0101.unmapped_Abundance	MID051.A0101.unmapped_Abundance	MID052.A0101.unmapped_Abundance	MID053.A0101.unmapped_Abundance	MID054.A0101.unmapped_Abundance	MID055.A0101.unmapped_Abundance	MID056.A0101.unmapped_Abundance	MID057.A0101.unmapped_Abundance	MID058.A0101.unmapped_Abundance	MID059.A0101.unmapped_Abundance	MID060.A0101.unmapped_Abundance	MID061.A0101.unmapped_Abundance	MID062.A0101.unmapped_Abundance	MID063.A0101.unmapped_Abundance	MID064.A0101.unmapped_Abundance	MID065.A0101.unmapped_Abundance	MID066.A0101.unmapped_Abundance	MID067.A0101.unmapped_Abundance	MID068.A0101.unmapped_Abundance	MID068.B0101.unmapped_Abundance	MID070.A0101.unmapped_Abundance	MID071.A0101.unmapped_Abundance	MID072.A0101.unmapped_Abundance	MID073.A0101.unmapped_Abundance	MID074.A0101.unmapped_Abundance	MID075.A0101.unmapped_Abundance	MID076.A0101.unmapped_Abundance	MID077.A0101.unmapped_Abundance	MID078.A0101.unmapped_Abundance	MID079.A0101.unmapped_Abundance	MID080.A0101.unmapped_Abundance	MID081.A0101.unmapped_Abundance	MID082.A0101.unmapped_Abundance	MID083.A0101.unmapped_Abundance	MID084.A0101.unmapped_Abundance	MID085.A0101.unmapped_Abundance	MID086.A0101.unmapped_Abundance	MID087.A0101.unmapped_Abundance	MID088.A0101.unmapped_Abundance	MID089.A0101.unmapped_Abundance	MID090.A0101.unmapped_Abundance	MID091.A0101.unmapped_Abundance	MID092.A0101.unmapped_Abundance	MID093.A0101.unmapped_Abundance	MID094.A0101.unmapped_Abundance	MID097.A0101.unmapped_Abundance	MID101.A0101.unmapped_Abundance	MID102.A0101.unmapped_Abundance
PWY-4041: &gamma;-glutamyl cycle|g__Aggregatibacter.s__Aggregatibacter_aphrophilus	0	0	0	0	0	3.70048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.5772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54992	0	0	0	0	0	0	0	18.0899	0	0	0.640731	4.73652	0	0	0	0	0	0	0	2.24927	0	0	0	0	0	0.694627	0	0	0	0	0	0	0	0	0	0	3.58063	0	2.47977	0
PWY-4041: &gamma;-glutamyl cycle|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.99075	0	0	3.03153	0	0	0	3.17156	0	0	0	0	0	0	4.09721	0	0	0	0	0	0	0	0	8.97763	0	0	2.95378	10.1409	0	0	0	7.19925	0	0	0	1.38086	0	5.26063	0	0	0	1.46649	0	0	0	0	0	0	0	0	0	0	1.85784	0	5.53406	0
PWY-4041: &gamma;-glutamyl cycle|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.49567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|g__Haemophilus.s__Haemophilus_sp_HMSC71H05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.62655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle|g__Streptococcus.s__Streptococcus_gordonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.942	0	0	0	6.58354	13.3508	11.6054	0	0	0	0	0	0	8.43145	6.36082	0	6.57359	0	0	16.7828	8.78199	0	0	0	0	0	5.72904	4.87977	0	0	0	0	0	0	3.12892	0	0	0	15.5878	0	0	0	60.5033	0	0	0	16.1747	4.91737	20.717	0	8.29096	0	0	0	8.36101	10.2609	9.17056	0	0	0	0	0	0	0	0	0	0	15.1313	0	0	0	8.27275	0	10.869	0
PWY-4041: &gamma;-glutamyl cycle|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242	325.361	193.648	284.681	219.126	328.472	255.174	273.363	137.277	0	0	0	0	0	38.1866	0	0	0	0	34.2342	0	216.706	344.099	212.459	185.393	295.781	351.041	226.826	243.106	133.145	148.752	130.107	133.044	101.249	200.396	321.337	233.326	291.076	230.097	173.656	186.961	419.934	267.73	251.804	182.5	135.467	205.527	253.669	264.829	171.234	342.8	218.354	221.453	183.446	199.171	182.344	254.567	265.499	225.769	190.634	432.401	197.996	155.966	176.617	432.13	224.645	208.808	236.913	346.065	240.608	328.579	280.399	235.506	202.818	186.995	138.029	285.421	244.432	442.925	292.628	181.217	149.791	268.521	248.781	287.638	202.507	323.367	193.799	169.725	328.881	163.353	247.037	257.876	307.676	161.179	292.052	188.713
PWY-4242|g__Abiotrophia.s__Abiotrophia_defectiva	0	1.12194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.15496	0	0	0	3.38698	0	4.57492	0	0	0	0	0	0	5.26809	2.16664	0	2.35973	0	0	2.10863	1.422	0	0	0	0	0	2.09035	0	0	0	0	0	0	0	0	0	0	0	7.44398	0	0	0	9.96045	0	0	0	0	0	4.83222	0	0	0	0	0	2.26319	0	15.6791	0	0	0	0.669889	0	0	0	2.50397	0	0	6.45228	0	0	0	3.54275	0	1.25317	1.1184
PWY-4242|g__Abiotrophia.s__Abiotrophia_sp_HMSC24B09	0	6.03987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.3417	0	0	0	1.54859	0	5.83548	0	0	0	0	0	0	7.39891	3.33039	0	8.89405	0	0	3.08786	2.43087	0	0	0	0	0	3.39644	0	0	0	0	0	0	0	0	0	0	0	8.67638	0	0	0	11.4482	0	0	0	0	0	10.8418	0	0	0	0	0	3.50947	0	24.6375	0	0	0	3.0466	0	0	0	3.40214	0	0	12.5646	0	0	0	5.54435	0	2.70568	0
PWY-4242|g__Actinomyces.s__Actinomyces_cardiffensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.21618	0	0	0	0	0	0	0	0	0	0	3.44705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30868	0	0	0	0	0	2.35468	0	0	3.27643	0	0	3.16237	0	0	0	0	0	0	0	0	0	0	0	3.31716
PWY-4242|g__Actinomyces.s__Actinomyces_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.84442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Actinomyces.s__Actinomyces_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.97909	0	0	0	0	0	0	0	0	0	0	0	9.76068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.99546	0	0	0	0	8.04407	3.68534	0	0	0	0	0	0
PWY-4242|g__Actinomyces.s__Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.31481	0	1.59188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00235	1.99963	0	0	1.72958	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22641	0	0	0	0	0	0	0	0	0	0	9.67582	0	0	0	0	0	0	0
PWY-4242|g__Actinomyces.s__Actinomyces_odontolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.08213	0	0	0	0	0	0	0	0	0	0	0	0	5.0452	0	0	0	0	0	0	10.8511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.41436	0	0	0	3.53828	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2825	0	0	0	6.50657	0	0	0	12.5915	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Actinomyces.s__Actinomyces_oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.64058	0	0	0	0	0	0	0	0	0	5.64165	0	0	0	0	0	16.5652	0	1.30876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0225	2.32111	0	0	1.12255	0	0	0	0	0	0	0	0	0	0	0	8.49002	0	0.710376	0	0	0	0	0	0	0	0	0	0	22.6916	0	0	0	0	0	0	0
PWY-4242|g__Actinomyces.s__Actinomyces_viscosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.955953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Aggregatibacter.s__Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.54219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.394	0	0	0	14.5553	0	0	0	0	0	0	0	1.49101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97864	0
PWY-4242|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.77595	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63097	0	0	0	0	0	0	0	0	9.32261	0	0	0	13.9385	0	0	0	4.83158	0	0	0	0	0	4.24305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Anaerolineaceae_unclassified.s__Anaerolineaceae_bacterium_oral_taxon_439	24.9868	12.3594	28.9811	32.8362	21.2037	15.397	22.5035	15.9779	0	0	0	0	0	0	0	0	0	0	0	0	30.3395	0	25.9489	38.6011	0	0	9.75219	6.16366	12.7343	14.6776	22.704	19.8542	19.6563	8.64623	0	7.77289	6.2527	0	15.6945	14.4952	0	4.55863	9.93304	7.63226	27.7851	10.2699	0	0	23.654	28.2899	28.8	36.3955	12.2356	12.8358	12.4128	15.8033	26.8473	24.4317	31.5316	0	12.7639	26.5923	27.5052	4.52906	5.83254	12.1243	0	11.5455	23.8807	0	22.074	7.92381	27.7256	22.3552	16.965	4.31709	5.14403	0	0	14.3597	11.9634	0	29.9055	11	24.8757	5.43837	18.1539	19.5748	0	11.0382	9.90341	11.9348	6.13703	24.995	0	8.32571
PWY-4242|g__Campylobacter.s__Campylobacter_rectus	0	3.66713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.3546	0	0	0	0	0	0	0	0	5.84481	0	0	0	0	0	0	6.77993	0	8.43812	0	0	0	5.46974	0	0	0	0	0	4.6814	0	0	0	9.70507	0	0	4.95923	0	4.14955	0	0	4.3035	0	4.09726	0	0	11.4031	3.70587	0	4.39486	0	7.92424	0	0	0	0	0	0	0	0	0	3.1351	0	4.57236	3.32943	0	0	0	6.35234	0	0	0	0	2.25946	6.36716	0	0
PWY-4242|g__Campylobacter.s__Campylobacter_showae	0	0	0	0	2.85209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91711	0	0	0	0	0	0	1.20115	4.52386	0	0	0	0	0	2.36602	0	0	0	1.35741	0	4.59898	0	0	2.86582	0	2.09422	0	0	0	0	0	0	0	0	1.15094	0	0	0.740421	0	4.006	0	0	0	1.01991	0	0	1.10524	0	6.93588	0
PWY-4242|g__Capnocytophaga.s__Capnocytophaga_gingivalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.13362	0	0	0	0	0	0	5.14159	0	0	0	0	4.3275	0	0	0	0	0	0	0	0	0.622692	0	0	0	2.33754	0	0	0	9.35963	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8912	5.4382	0	0	10.1976	0	1.7272	0	11.4541	0	0	0	0	0	0	2.79075	0	0	0
PWY-4242|g__Capnocytophaga.s__Capnocytophaga_granulosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.31527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.60661	0	0	0	0	0	0	0	0	0	0	0	6.07785	2.56944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.38297	0	0	0	0	0	0	0	0	0	0	0	0	0	4.19304	0	0	0	2.72426	0	2.09995	0	7.00789	0	0	0	0	0	0	0	0	9.65719	0
PWY-4242|g__Capnocytophaga.s__Capnocytophaga_ochracea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.42203	0	0	0	0	0	0	0	0	0	0	2.10535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.37568	0	2.49586	0	0	0	0	0	0	0	0	1.81655	0	0	1.91127	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99882	0	0	1.85995
PWY-4242|g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Capnocytophaga.s__Capnocytophaga_sputigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.755	0	0	6.44524	29.9771	0	4.11526	0	0	0	0	0	3.94832	7.65234	2.71004	3.85851	2.87456	0	0	1.6736	3.04167	0	0	0	0	6.64653	4.10141	2.43074	0	0	0	0	0	0	3.31248	0	0	0	4.64947	0	0	0	2.66653	0	0	0	0	1.96267	2.85831	0	0	0	0	0	2.87415	2.99331	4.42248	6.55057	0	0	10.0667	0	4.63417	0	4.51931	0	0	11.9435	0	0	0	3.71172	0	4.7999	3.63154
PWY-4242|g__Cardiobacterium.s__Cardiobacterium_hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.03623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.60075	0	0	0	6.30911	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified.s__Eubacterium_brachy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.55886	0	0	0	0	0	0	0	0	0	0	0	0	5.01143	6.08682	0	15.4964	0	0	3.49804	0	3.7886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified.s__Eubacterium_nodatum	7.51635	0	7.86169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00143	0	0	0	0	0	4.47153	0	0	0	0	0	0	0	0	0	0	16.7028	0	6.91071	4.09466	0	0	4.26082	24.1798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.3044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50775	14.2566	0	0	0	0
PWY-4242|g__Corynebacterium.s__Corynebacterium_amycolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Corynebacterium.s__Corynebacterium_durum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.46948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.41057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Corynebacterium.s__Corynebacterium_matruchotii	0	6.90904	0	0	17.3044	6.71661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.0797	0	14.8942	4.61205	0	0	0	0	0	0	6.19777	26.3516	11.9767	0	0	0	14.5395	7.24154	11.592	0	0	0	6.46076	7.80912	0	0	0	0	0	18.8253	5.82149	0	0	0	0	0	8.41699	0	0	0	29.8536	0	17.3293	0	0	8.93097	0	0	0	0	0	20.8193	28.9379	0	0	20.098	6.72111	10.273	0	31.479	13.3278	38.0533	0	0	0	10.7786	0	0	5.25422	0	0	16.7677
PWY-4242|g__Desulfobulbus.s__Desulfobulbus_oralis	91.0318	29.1951	9.58931	0	73.6636	73.779	99.7672	17.9493	0	0	0	0	0	0	0	0	0	0	0	0	34.5741	2.75893	0	44.5031	0	5.19734	0	0	11.2335	39.3644	18.8491	0	24.9336	7.75387	7.58665	3.2653	5.14155	11.4611	25.5828	18.3112	0	4.03985	6.58483	5.47608	13.4014	9.06732	0	6.79255	11.9733	0	10.958	56.2061	9.20747	4.46126	0	28.2104	20.9896	44.0014	8.35986	0	16.5355	17.507	9.66441	3.44211	5.0985	7.84279	0	0	34.7046	4.85419	78.9756	7.35949	31.9901	15.7869	8.69455	8.63429	7.91896	0	0	12.6053	14.8413	8.0235	41.9758	0	35.6701	5.50827	10.2047	14.8617	0	6.16846	17.8091	23.0303	19.121	41.095	0	0
PWY-4242|g__Desulfomicrobium.s__Desulfomicrobium_orale	0	0	137.261	100.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.2603	0	0	0	0	9.7172	22.9123	0	0	19.393	0	0	0	5.86431	0	0	0	0	0	0	38.1295	0	0	13.223	0	0	7.07789	67.8927	60.1392	0	0	24.1719	0	0	8.62159	0	33.0137	0	0	0	0	0	11.4462	59.8183	0	0	0	0	0	0	0	31.0189	20.9236	0	0	0	0	0	0	0	0	36.7668	0	0	0	0	0	0	0	0	0	0	5.14417	12.9342
PWY-4242|g__Dialister.s__Dialister_invisus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.26267	0	0	0	0
PWY-4242|g__Eggerthia.s__Eggerthia_catenaformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Eikenella.s__Eikenella_corrodens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.78871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.968941	0	0	0	0	0	0	0	11.6368	0	0	6.12776	0	0	3.30334	0	0	0	0	0	0	0	4.81921	0	0	0	3.41408	0	1.44374	0	0	0	0	0	0	0	0	0	0	1.81127	0
PWY-4242|g__Eikenella.s__Eikenella_sp_NML130454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.5057	0	0	0	0	0	0	0	0	1.3595	0	2.59272	0	0	0	1.33403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.44344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.80266	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4242|g__Filifactor.s__Filifactor_alocis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.47762	6.62261	0	12.214	0	0	0	0	5.04911	6.43258	0	0	0	0	0	0	0	0	0	5.48234	0	0	0	0	0	8.07308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4039	0	0	6.76118	0	0
PWY-4242|g__Fusobacterium.s__Fusobacterium_hwasookii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34901	5.09559	6.97017	4.73521	0	0	0	0	0	2.77133	13.0523	5.64494	8.19653	1.77353	4.07872	0	3.11151	4.24719	7.31278	0	0	0	2.65833	5.92028	2.83482	0	0	0	1.74254	0	0	0	0	0	0	0	0	0	0	6.02933	0	0	0	0	1.93688	0	0	0	0	0	0	0	4.74441	10.0957	0	0	0	3.44827	0	4.59376	0	2.65909	0	0	0	0	0	0	5.58706	0	7.78062	0
PWY-4242|g__Fusobacterium.s__Fusobacterium_nucleatum	7.51024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.829392	2.70744	2.01729	1.0058	0	0	0	0	0	3.27742	2.35134	1.52197	7.01657	1.36327	4.13364	0	1.8406	2.7678	3.38093	0	0	0	0	2.78721	2.40915	6.46875	0	0	1.2088	4.22024	0	0	0	0	0	0	0	0	0	2.2677	0	0	0	0	4.45284	0	0	0	0	0	0	0	0.937846	1.94925	0	0	0	0.495259	0	2.81047	0	2.4752	0	0	0	0	0	3.00687	1.6807	0	0.705302	0
PWY-4242|g__Fusobacterium.s__Fusobacterium_periodonticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.824983	0	0	0	0	0	0	0	0	0	1.36253	0.735543	0	0	0	0	0	2.18965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3877	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55179	0	0	0	0	0	0	0	1.68718	0	0	0	0	0	0	0	0	0.937869	0
PWY-4242|g__Fusobacterium.s__Fusobacterium_sp_oral_taxon_370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
