#Datasets	MeganServer::MID078.A0101.unmapped	MeganServer::MID067.A0101.unmapped	MeganServer::EXB059.A2501.unmapped	MeganServer::MID089.A0101.unmapped	MeganServer::MID101.A0101.unmapped	MeganServer::LIB058.A0103.unmapped	MeganServer::MID077.A0101.unmapped	MeganServer::MID088.A0101.unmapped	MeganServer::MID027.A0101.unmapped	MeganServer::MID066.A0101.unmapped	MeganServer::MID094.A0101.unmapped	MeganServer::MID083.A0101.unmapped	MeganServer::MID072.A0101.unmapped	MeganServer::MID022.A0101.unmapped	MeganServer::CMB004.A0101.unmapped	MeganServer::MID061.A0101.unmapped	MeganServer::MID050.A0101.unmapped	MeganServer::MID044.A0101.unmapped	MeganServer::MID049.A0101.unmapped	MeganServer::MID038.A0101.unmapped	MeganServer::MID055.A0101.unmapped	MeganServer::MID033.A0101.unmapped	MeganServer::MID071.A0101.unmapped	MeganServer::MID093.A0101.unmapped	MeganServer::MID032.A0101.unmapped	MeganServer::CMB002.A0101.unmapped	MeganServer::MID029.A0101.unmapped	MeganServer::MID024.A0101.unmapped	MeganServer::MID102.A0101.unmapped	MeganServer::MID085.A0101.unmapped	MeganServer::MID041.A0101.unmapped	MeganServer::MID046.A0101.unmapped	MeganServer::MID063.A0101.unmapped	MeganServer::MID068.A0101.unmapped	MeganServer::EXB059.A2201.unmapped	MeganServer::MID080.A0101.unmapped	MeganServer::MID084.A0101.unmapped	MeganServer::CMB003.A0101.unmapped	MeganServer::MID062.A0101.unmapped	MeganServer::MID023.A0101.unmapped	MeganServer::MID040.A0101.unmapped	MeganServer::MID045.A0101.unmapped	MeganServer::MID059.A0101.unmapped	MeganServer::LIB058.A0104.unmapped	MeganServer::MID037.A0101.unmapped	MeganServer::MID076.A0101.unmapped	MeganServer::CMB008.A0101.unmapped	MeganServer::EXB034.A2701.unmapped	MeganServer::MID028.A0101.unmapped	MeganServer::MID054.A0101.unmapped	MeganServer::MID068.B0101.unmapped	MeganServer::MID075.A0101.unmapped	MeganServer::MID086.A0101.unmapped	MeganServer::MID097.A0101.unmapped	MeganServer::MID042.A0101.unmapped	MeganServer::MID053.A0101.unmapped	MeganServer::MID064.A0101.unmapped	MeganServer::MID031.A0101.unmapped	MeganServer::MID058.A0101.unmapped	MeganServer::MID047.A0101.unmapped	MeganServer::MID036.A0101.unmapped	MeganServer::CMB001.A0101.unmapped	MeganServer::CMB006.A0101.unmapped	MeganServer::MID025.A0101.unmapped	MeganServer::CMB007.A0101.unmapped	MeganServer::EXB059.A2301.unmapped	MeganServer::MID070.A0101.unmapped	MeganServer::LIB058.A0107.unmapped	MeganServer::MID092.A0101.unmapped	MeganServer::LIB058.A0105.unmapped	MeganServer::MID081.A0101.unmapped	MeganServer::MID079.A0101.unmapped	MeganServer::MID082.A0101.unmapped	MeganServer::MID043.A0101.unmapped	MeganServer::CMB005.A0101.unmapped	MeganServer::EXB059.A2101.unmapped	MeganServer::EXB059.A2401.unmapped	MeganServer::MID074.A0101.unmapped	MeganServer::MID026.A0101.unmapped	MeganServer::MID035.A0101.unmapped	MeganServer::MID030.A0101.unmapped	MeganServer::MID057.A0101.unmapped	MeganServer::LIB058.A0102.unmapped	MeganServer::MID090.A0101.unmapped	MeganServer::MID052.A0101.unmapped	MeganServer::MID073.A0101.unmapped	MeganServer::MID048.A0101.unmapped	MeganServer::MID034.A0101.unmapped	MeganServer::MID051.A0101.unmapped	MeganServer::MID091.A0101.unmapped	MeganServer::MID056.A0101.unmapped	MeganServer::MID065.A0101.unmapped	MeganServer::MID039.A0101.unmapped	MeganServer::MID060.A0101.unmapped	MeganServer::LIB058.A0106.unmapped	MeganServer::MID087.A0101.unmapped
"Flavobacterium reichenbachii"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Flavobacterium succinicans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Flavobacterium terrigena"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Riemerella anatipestifer"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	482.0	0.0	0.0	776.0	0.0	0.0	0.0	1004.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	518.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1150.0	0.0	0.0	0.0	0.0	624.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	996.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	971.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	511.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	866.0	0.0	0.0	0.0	0.0
"Pedobacter nutrimenti"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroidetes oral taxon 274"	77888.0	123439.0	12116.0	97173.0	74174.0	6770.0	135749.0	33064.0	15047.0	180652.0	136965.0	58591.0	32959.0	140844.0	7831.0	42326.0	150981.0	124959.0	102849.0	199444.0	87096.0	22479.0	102375.0	131505.0	34076.0	17974.0	34195.0	82865.0	107207.0	166111.0	153991.0	7174.0	7825.0	74428.0	1784.0	33863.0	46201.0	12686.0	88098.0	33632.0	98111.0	65621.0	60009.0	896.0	90140.0	5561.0	2118.0	872.0	29345.0	99073.0	30040.0	16063.0	38996.0	65373.0	64837.0	8740.0	24287.0	92812.0	25610.0	45338.0	67412.0	31615.0	89104.0	20618.0	10256.0	2666.0	101354.0	79.0	10113.0	29.0	141353.0	21783.0	64230.0	66109.0	130395.0	668.0	885.0	24188.0	89318.0	72853.0	42043.0	51586.0	147.0	24114.0	52415.0	62261.0	41540.0	9249.0	22408.0	113802.0	93119.0	14859.0	72993.0	21718.0	15920.0	54099.0
"Chlorobaculum limnaeum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	362.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Chlorobium limicola"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1637.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Chlorobium phaeobacteroides"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	471.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Pelodictyon luteolum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	368.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prosthecochloris sp. CIB 2401"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	331.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	369.0	0.0	0.0	0.0	0.0	368.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Kryptobacter tengchongensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	293.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Kryptonium thompsoni"	909.0	1486.0	1738.0	7892.0	3470.0	282.0	2344.0	3221.0	1930.0	2929.0	2149.0	3070.0	1888.0	1638.0	1202.0	2697.0	3419.0	6610.0	2833.0	3079.0	2347.0	1012.0	6756.0	2179.0	1264.0	1398.0	682.0	3864.0	3409.0	3695.0	2613.0	33179.0	4098.0	2426.0	773.0	937.0	1741.0	2057.0	17564.0	4870.0	18632.0	73211.0	3429.0	866.0	4439.0	2540.0	3184.0	5857.0	1796.0	753.0	931.0	377.0	495.0	9283.0	6942.0	4527.0	1788.0	788.0	2926.0	1445.0	3745.0	3031.0	1958.0	1585.0	3959.0	2418.0	5067.0	2965.0	2553.0	1501.0	2278.0	3383.0	2554.0	1126.0	3241.0	372.0	1116.0	376.0	3313.0	11763.0	3668.0	2877.0	10103.0	522.0	2240.0	3231.0	1959.0	7220.0	1779.0	2809.0	1058.0	2499.0	9903.0	2067.0	8361.0	898.0
"Fusobacterium hwasookii"	18191.0	815.0	1088.0	5868.0	45118.0	433.0	8636.0	2008.0	17309.0	6469.0	32281.0	24182.0	0.0	1911.0	0.0	7136.0	16483.0	9597.0	40131.0	15805.0	1701.0	861.0	27699.0	1774.0	1933.0	3354.0	23665.0	0.0	7659.0	28985.0	6683.0	0.0	0.0	8664.0	208.0	14070.0	0.0	0.0	2450.0	8716.0	2537.0	2828.0	900.0	0.0	25615.0	0.0	0.0	0.0	15762.0	2505.0	4166.0	0.0	1138.0	746.0	12671.0	0.0	0.0	4600.0	0.0	4374.0	96000.0	0.0	654.0	0.0	0.0	56.0	7438.0	0.0	0.0	0.0	2790.0	67576.0	2315.0	20213.0	681.0	33.0	0.0	867.0	23939.0	6027.0	0.0	6720.0	0.0	5217.0	477.0	9659.0	7554.0	0.0	0.0	3158.0	4957.0	30809.0	8535.0	3131.0	454.0	20895.0
"Fusobacterium naviforme"	0.0	0.0	0.0	722.0	0.0	0.0	0.0	838.0	0.0	0.0	0.0	0.0	1172.0	0.0	1605.0	0.0	0.0	0.0	565.0	0.0	0.0	493.0	0.0	1416.0	0.0	887.0	0.0	1624.0	0.0	0.0	0.0	0.0	565.0	0.0	0.0	0.0	1244.0	2712.0	915.0	0.0	584.0	782.0	942.0	0.0	0.0	841.0	571.0	0.0	0.0	1018.0	0.0	216.0	764.0	753.0	0.0	1833.0	0.0	774.0	0.0	371.0	0.0	1380.0	410.0	484.0	1357.0	0.0	1662.0	0.0	2734.0	0.0	0.0	0.0	549.0	0.0	572.0	0.0	0.0	229.0	0.0	420.0	1052.0	770.0	0.0	0.0	614.0	0.0	0.0	2282.0	476.0	0.0	0.0	0.0	518.0	3081.0	0.0	0.0
"Fusobacterium necrophorum"	0.0	1988.0	158.0	1065.0	805.0	134.0	1344.0	2349.0	0.0	507.0	1267.0	1636.0	970.0	848.0	1585.0	0.0	4785.0	3568.0	901.0	1107.0	1026.0	2916.0	0.0	4023.0	4351.0	5828.0	1394.0	3364.0	857.0	2050.0	3485.0	4173.0	3136.0	469.0	0.0	345.0	2333.0	1218.0	761.0	0.0	3559.0	2364.0	3289.0	0.0	1903.0	11427.0	312.0	0.0	1013.0	2699.0	0.0	1815.0	541.0	2844.0	604.0	3696.0	2903.0	814.0	3801.0	1559.0	0.0	953.0	607.0	6605.0	998.0	82.0	813.0	0.0	5295.0	0.0	855.0	0.0	1580.0	481.0	0.0	0.0	0.0	207.0	0.0	1304.0	3703.0	3163.0	0.0	0.0	3095.0	1274.0	567.0	4520.0	5455.0	1886.0	0.0	1853.0	1050.0	2260.0	277.0	970.0
"Fusobacterium nucleatum"	23888.0	16318.0	4211.0	20832.0	61784.0	2728.0	22828.0	13552.0	50442.0	17543.0	55101.0	20961.0	9376.0	39064.0	2730.0	5863.0	39935.0	74546.0	65225.0	124382.0	47701.0	14864.0	16240.0	55350.0	43184.0	4690.0	29632.0	20654.0	26616.0	75829.0	54549.0	13192.0	8844.0	10446.0	450.0	20893.0	10902.0	5578.0	40057.0	12779.0	83001.0	14634.0	41940.0	398.0	58789.0	8593.0	2666.0	159.0	30965.0	24682.0	9219.0	5969.0	8752.0	47792.0	50439.0	3868.0	14886.0	17411.0	29199.0	31160.0	65957.0	38524.0	22843.0	8744.0	3692.0	331.0	48102.0	0.0	9124.0	0.0	22360.0	100671.0	28705.0	69574.0	19742.0	128.0	157.0	6118.0	37299.0	54684.0	19808.0	35392.0	0.0	9788.0	25441.0	22754.0	30928.0	11659.0	44122.0	27279.0	21793.0	68401.0	32173.0	25377.0	3783.0	74183.0
"Fusobacterium periodonticum"	4879.0	555.0	674.0	2235.0	13637.0	320.0	5095.0	1204.0	4024.0	1691.0	11328.0	3740.0	0.0	913.0	0.0	1562.0	3737.0	6230.0	7861.0	4469.0	1162.0	989.0	2732.0	2563.0	2322.0	903.0	10727.0	608.0	2097.0	4206.0	2088.0	0.0	449.0	2110.0	108.0	10320.0	0.0	0.0	2765.0	4777.0	2334.0	3055.0	1247.0	0.0	12680.0	776.0	299.0	0.0	3350.0	3721.0	5975.0	200.0	287.0	959.0	7029.0	0.0	820.0	1473.0	0.0	2347.0	16888.0	0.0	435.0	0.0	0.0	0.0	2430.0	0.0	801.0	0.0	1191.0	35724.0	4268.0	16286.0	515.0	0.0	0.0	580.0	19121.0	3009.0	461.0	3344.0	0.0	1782.0	663.0	11679.0	3118.0	0.0	805.0	2361.0	1331.0	14354.0	5164.0	4320.0	333.0	9858.0
"Fusobacterium sp. HMSC064B11"	472.0	0.0	90.0	0.0	961.0	0.0	0.0	0.0	1098.0	0.0	960.0	0.0	0.0	0.0	0.0	0.0	0.0	824.0	1125.0	675.0	0.0	0.0	0.0	0.0	0.0	0.0	675.0	0.0	0.0	1024.0	504.0	0.0	0.0	0.0	0.0	386.0	0.0	0.0	472.0	0.0	0.0	0.0	0.0	0.0	1068.0	0.0	0.0	0.0	482.0	0.0	0.0	0.0	0.0	0.0	1249.0	0.0	0.0	0.0	0.0	0.0	1316.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1956.0	0.0	1583.0	0.0	0.0	0.0	0.0	805.0	1017.0	0.0	0.0	0.0	0.0	0.0	0.0	512.0	0.0	0.0	0.0	0.0	1675.0	674.0	0.0	0.0	1406.0
"Fusobacterium sp. HMSC064B12"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	506.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	423.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Fusobacterium sp. oral taxon 203"	437.0	1387.0	254.0	2145.0	12193.0	323.0	2189.0	0.0	3241.0	1049.0	8257.0	1891.0	564.0	4749.0	0.0	0.0	5023.0	13080.0	3436.0	24615.0	1387.0	0.0	0.0	3166.0	1553.0	0.0	2974.0	4072.0	735.0	963.0	2461.0	1230.0	0.0	0.0	0.0	353.0	4184.0	0.0	5186.0	1790.0	8677.0	1807.0	22694.0	0.0	3052.0	0.0	0.0	0.0	1686.0	14817.0	0.0	1369.0	1736.0	6521.0	1243.0	0.0	0.0	4167.0	1892.0	8028.0	5823.0	2366.0	0.0	686.0	0.0	0.0	2971.0	0.0	3877.0	0.0	2478.0	2142.0	3145.0	4401.0	5369.0	0.0	0.0	0.0	3774.0	813.0	0.0	1379.0	0.0	1048.0	3506.0	860.0	0.0	0.0	8920.0	1006.0	0.0	1128.0	1412.0	2349.0	131.0	3011.0
"Fusobacterium sp. oral taxon 370"	622.0	0.0	0.0	0.0	1848.0	0.0	864.0	0.0	1639.0	0.0	1222.0	623.0	0.0	0.0	0.0	0.0	702.0	690.0	744.0	763.0	0.0	0.0	0.0	0.0	537.0	0.0	722.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	500.0	0.0	0.0	390.0	0.0	549.0	0.0	638.0	0.0	888.0	0.0	0.0	0.0	0.0	0.0	547.0	0.0	0.0	0.0	561.0	0.0	0.0	229.0	0.0	0.0	1304.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2666.0	0.0	1082.0	0.0	0.0	0.0	0.0	969.0	359.0	0.0	0.0	0.0	0.0	0.0	1230.0	0.0	0.0	0.0	0.0	0.0	932.0	415.0	0.0	0.0	609.0
"Leptotrichia buccalis"	15768.0	1350.0	1346.0	3667.0	6946.0	791.0	8171.0	803.0	1983.0	33084.0	4512.0	2389.0	1557.0	1983.0	0.0	1779.0	6283.0	13545.0	7196.0	2228.0	17521.0	1537.0	6437.0	11553.0	10913.0	1343.0	5657.0	2912.0	11449.0	3610.0	26431.0	0.0	1817.0	8169.0	107.0	6349.0	6813.0	0.0	15023.0	2645.0	4355.0	13518.0	2283.0	0.0	25462.0	667.0	0.0	0.0	3254.0	2663.0	2476.0	0.0	2288.0	4502.0	36914.0	4197.0	988.0	3320.0	425.0	9879.0	6895.0	0.0	5334.0	0.0	0.0	112.0	3036.0	0.0	732.0	0.0	8943.0	56977.0	8751.0	7085.0	5310.0	44.0	0.0	3391.0	10674.0	18950.0	2593.0	3953.0	0.0	833.0	1313.0	4967.0	5489.0	1158.0	532.0	16239.0	7737.0	1948.0	9812.0	4610.0	2347.0	11339.0
"Leptotrichia goodfellowii"	550.0	0.0	502.0	0.0	0.0	169.0	1473.0	0.0	5011.0	595.0	1960.0	1220.0	0.0	1692.0	0.0	0.0	2534.0	1032.0	0.0	5225.0	5949.0	0.0	0.0	0.0	697.0	0.0	748.0	0.0	938.0	4088.0	675.0	0.0	0.0	1411.0	0.0	0.0	0.0	0.0	0.0	768.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	497.0	0.0	0.0	0.0	648.0	0.0	4670.0	0.0	0.0	0.0	0.0	0.0	1622.0	0.0	1984.0	0.0	0.0	0.0	676.0	0.0	0.0	0.0	0.0	0.0	0.0	754.0	1980.0	0.0	0.0	707.0	539.0	9383.0	0.0	3937.0	0.0	650.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4334.0	0.0	0.0	0.0
"Leptotrichia hofstadii"	5842.0	0.0	429.0	985.0	4138.0	230.0	3232.0	0.0	1272.0	4197.0	2193.0	4295.0	0.0	892.0	0.0	1830.0	2556.0	3527.0	5862.0	2165.0	2778.0	304.0	4410.0	1560.0	3515.0	1504.0	4035.0	437.0	4411.0	5353.0	6777.0	0.0	385.0	1521.0	63.0	5068.0	1286.0	0.0	2414.0	906.0	1119.0	2799.0	0.0	0.0	7714.0	0.0	0.0	0.0	1770.0	661.0	1368.0	0.0	621.0	778.0	9868.0	883.0	0.0	663.0	0.0	2065.0	5472.0	0.0	1531.0	0.0	0.0	0.0	1653.0	0.0	0.0	0.0	1566.0	10069.0	1660.0	6807.0	1300.0	0.0	0.0	627.0	6039.0	5967.0	472.0	2539.0	0.0	1225.0	0.0	2875.0	2591.0	0.0	0.0	3094.0	1481.0	1164.0	3558.0	971.0	445.0	6375.0
"Leptotrichia shahii"	1950.0	0.0	170.0	0.0	1545.0	91.0	962.0	0.0	0.0	2120.0	0.0	0.0	0.0	0.0	0.0	0.0	694.0	1671.0	1472.0	469.0	1568.0	0.0	838.0	752.0	1498.0	0.0	847.0	0.0	2021.0	877.0	1738.0	0.0	0.0	490.0	0.0	981.0	0.0	0.0	967.0	0.0	446.0	1637.0	0.0	0.0	2276.0	0.0	0.0	0.0	434.0	0.0	393.0	0.0	0.0	1113.0	3376.0	0.0	0.0	262.0	0.0	1390.0	1311.0	0.0	532.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	488.0	12869.0	1376.0	1095.0	0.0	0.0	0.0	333.0	1801.0	1590.0	0.0	0.0	0.0	0.0	0.0	895.0	1209.0	0.0	0.0	2221.0	859.0	0.0	1186.0	735.0	317.0	2936.0
"Leptotrichia trevisanii"	2671.0	0.0	490.0	1283.0	2082.0	275.0	4105.0	0.0	1156.0	2695.0	1404.0	1970.0	0.0	841.0	0.0	918.0	2252.0	2874.0	2554.0	2627.0	2844.0	302.0	2192.0	1911.0	6299.0	686.0	2028.0	593.0	2697.0	6586.0	3667.0	0.0	531.0	1290.0	41.0	2269.0	2579.0	0.0	2144.0	751.0	3470.0	2796.0	949.0	0.0	3584.0	311.0	0.0	0.0	902.0	567.0	677.0	0.0	938.0	1373.0	4235.0	2338.0	0.0	692.0	0.0	1479.0	3866.0	0.0	1112.0	0.0	0.0	0.0	2004.0	0.0	0.0	0.0	1804.0	5382.0	1528.0	3074.0	1998.0	0.0	0.0	533.0	3880.0	3601.0	523.0	1466.0	0.0	646.0	0.0	1707.0	1353.0	0.0	0.0	3685.0	1412.0	0.0	3782.0	1070.0	519.0	2611.0
"Leptotrichia wadei"	2492.0	0.0	283.0	674.0	1906.0	141.0	1661.0	630.0	906.0	2577.0	1086.0	1420.0	0.0	0.0	0.0	0.0	1269.0	2135.0	2324.0	930.0	2391.0	0.0	1563.0	1555.0	2180.0	376.0	1438.0	960.0	2238.0	1929.0	2801.0	0.0	384.0	1012.0	0.0	1382.0	1320.0	0.0	1960.0	0.0	1087.0	2564.0	0.0	0.0	2997.0	390.0	0.0	0.0	805.0	422.0	608.0	0.0	418.0	856.0	4106.0	1185.0	0.0	540.0	0.0	1341.0	2286.0	0.0	904.0	0.0	0.0	0.0	729.0	0.0	0.0	0.0	1037.0	8988.0	1286.0	2432.0	950.0	0.0	0.0	417.0	2376.0	3040.0	382.0	1154.0	0.0	350.0	0.0	1318.0	2621.0	0.0	0.0	2669.0	1312.0	0.0	2183.0	955.0	419.0	3619.0
